"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500266","Graduado o Graduada en Física por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","24,55","45,25","92,86","128,57",,,"240","294"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28040571","Escuela Universitaria de Fisioterapia de la ONCE","2500661","Graduado o Graduada en Fisioterapia  por la Universidad Autónoma de Madrid","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","243"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027199","Centro Superior de Estudios Universitarios La Salle","2500661","Graduado o Graduada en Fisioterapia  por la Universidad Autónoma de Madrid","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","249"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2500660","Graduado o Graduada en Geografía y Ordenación del Territorio por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","252"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027072","Facultad de Ciencias Económicas y Empresariales","2501504","Graduado o Graduada en Gestión Aeronáutica por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","24,55","45,25","92,86","128,57",,,"240","336"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2500657","Graduado o Graduada en Historia del Arte por la Universidad Autónoma de Madrid","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","282"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2500656","Graduado o Graduada en Historia por la Universidad Autónoma de Madrid","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","402"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2500658","Graduado o Graduada en Historia y Ciencias de la Música y Tecnología Musical por la Universidad Autónoma de Madrid","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","252"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28048397","Escuela Politécnica Superior","2504043","Graduado o Graduada en Ingeniería Biomédica por la Universidad Autónoma de Madrid","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2020","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","60"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28048397","Escuela Politécnica Superior","2502337","Graduado o Graduada en Ingeniería de Tecnologías y Servicios de Telecomunicación por la Universidad Autónoma de Madrid","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","24,55","45,25","92,86","128,57",,,"240","252"
"2020-21","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28048397","Escuela Politécnica Superior","2500272","Graduado o Graduada en Ingeniería Informática por la Universidad Autónoma de Madrid","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","24,55","45,25","92,86","128,57",,,"240","300"
