id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UVA-273147534e7dda9f34986b69ab2f71a2,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Filosofia  Y Letras,,47005681,4313040,Master Universitario En Cooperacion Internacional Para El Desarrollo,Ciencias Sociales Y Juridicas,Interuniversitario Con Universidades Espanolas,false,true,2018,Activo,Estudio Semipresencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,82.00
UVA-c3f03494245a7d1af1503167ed92ba26,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Enfermeria De Valladolid,https://www.wikidata.org/wiki/Q20014892,47008153,4313100,Master Universitario En Enfermeria Oftalmologica,Ciencias De La Salud,No Es Interuniversitario,,true,2011,Activo,Estudio Semipresencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,75.00
UVA-fe9eeaae720bae1b237bb66cf911a208,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Educacion Y Trabajo Social,https://www.wikidata.org/wiki/Q20014982,47005632,4313123,Master Universitario En Psicopedagogia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,90.00
UVA-a4a304a2cd4c97ce99c185bb0dcc96a8,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Escuela Tecnica Superior De Ingenierias Agrarias,,34003361,4313455,Master Universitario Erasmus Mundus En Gestion Forestal Y De Recursos Naturales En El Mediterraneo (medfor),Ingenieria Y Arquitectura,Interuniversitario Con Alguna Universidad Extranjera,true,true,2012,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,120.00,60.00
UVA-a59ea5f02417b6af51a18648b90662bb,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Medicina,,47005693,4313778,Master Universitario En Retina,Ciencias De La Salud,Interuniversitario Con Universidades Espanolas,false,false,2013,Extinguido En El Curso De Referencia,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,60.00
UVA-d42ba7a27aad962131ecb546075b2f12,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Otros,Escuela De Doctorado,,47008131,4314135,Master Universitario En Investigacion En Ciencias De La Vision,Ciencias De La Salud,Interuniversitario Con Universidades Espanolas,false,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,138.00
UVA-4c183e6b9f9ed08b73886825bef9a738,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Filosofia  Y Letras,,47005681,4314138,"Master Universitario En Europa Y El Mundo Atlantico: Poder, Cultura Y Sociedad",Artes Y Humanidades,Interuniversitario Con Alguna Universidad Extranjera,false,true,2013,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,60.00
UVA-c4e11f186183a10fd03be08737f513ff,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Medicina,,47005693,4314139,Master Universitario En Subespecialidades Oftalmologicas,Ciencias De La Salud,No Es Interuniversitario,,true,2018,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,202.00
UVA-823e5c2a668adee53f989d8da3a16120,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Derecho,,47005671,4314141,Master Universitario En Abogacia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,31.14,59.09,127.32,176.05,,,90.00,90.00
UVA-09c336bf396e307df17fff0fe2945523,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Derecho,,47005671,4314142,Master Universitario En Procura,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,false,2013,Extinguido En El Curso De Referencia,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,31.14,59.09,127.32,176.05,,,90.00,90.00
UVA-96f12c383dab109c51136f87d760d3ba,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Escuela De Ingenieria Informatica De Valladolid,,47008438,4314144,Master Universitario En Ingenieria Informatica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,31.14,59.09,127.32,176.05,,,90.00,192.00
UVA-a15db10b6736d88ee8d2137735129d90,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Facultad De Derecho,,47005671,4314145,Master Universitario En Estudios Juridicos Avanzados,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,false,2013,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,90.00
UVA-55fc08a36fed74eaee3114c07e7a848a,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Escuela De Ingenierias Industriales,,47007941,4314147,Master Universitario En Ingenieria Industrial,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,31.14,59.09,127.32,176.05,,,90.00,204.50
UVA-fd6db69444a118b22561a41611e4b97d,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Otros,Escuela De Doctorado,,47008131,4314148,Master Universitario En Instrumentacion En Fisica,Ciencias,No Es Interuniversitario,,true,2013,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,77.00
UVA-c7207a35076a65911149e2b457c5ebf2,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Escuela Tecnica Superior De Ingenierias Agrarias,,34003361,4314150,Master Universitario En Investigacion En Conservacion Y Uso Sostenible De Sistemas Forestales,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,90.00,150.00
UVA-983c585fa011191bcb499962147fdb99,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Master,Centro,Escuela De Ingenierias Industriales,,47007941,4314151,Master Universitario En Logistica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,39.50,76.21,76.21,76.21,,,60.00,65.00
