"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_campus","des_campus","cod_centro","des_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_tipo_estudio","des_tipo_estudio","cod_titulacion","des_titulacion","cod_comunidad_centro_sec","des_comunidad_centro_sec","cod_provincia_centro_sec","des_provincia_centro_sec","cod_municipio_centro_sec","des_municipio_centro_sec","lat_municipio_centro_sec","lon_municipio_centro_sec","cod_naturaleza_centro_sec","des_naturaleza_centro_sec","nota_admision","cod_pais_fin_estudio_acceso","des_pais_fin_estudio_acceso","lat_pais_fin_estudio_acceso","lon_pais_fin_estudio_acceso","cod_continente_fin_estudio_acceso","des_continente_fin_estudio_acceso","cod_agregacion_paises_fin_estudio_acceso","des_agregacion_paises_fin_estudio_acceso","cod_estudio_acceso","des_estudio_acceso","cod_especialidad_acceso","des_especialidad_acceso","des_tipo_especialidad_acceso","cod_ocupacion_estudiante","des_ocupacion_estudiante","anio_fin_estudio_acceso","cod_forma_admision","des_forma_admision","ind_accede_al_SUE_por_1a_vez","anio_acceso_SUE","ind_se_matricula_en_primero","ind_curso_adaptacion","anio_nacimiento","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_pais_residencia","des_pais_residencia","lat_pais_residencia","lon_pais_residencia","cod_continente_residencia","des_continente_residencia","cod_agregacion_paises_residencia","des_agregacion_paises_residencia","cod_dedicacion","des_dedicacion","cod_genero","des_genero","cod_familia_numerosa","des_familia_numerosa","cod_nivel_estudios_madre","des_nivel_estudios_madre","cod_ocupacion_madre","des_ocupacion_madre","cod_nivel_estudios_padre","des_nivel_estudios_padre","cod_ocupacion_padre","des_ocupacion_padre"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21072","VALVERDE DEL CAMINO","37.57339","-6.753376","1","Centro Público","7,513","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2004","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1999","862","Venezuela (República Bolivariana de)","6.42375","-66.58973","019","Américas","419","América Latina y el Caribe","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","10","Parado","3","Estudios Primarios",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","9,643","862","Venezuela (República Bolivariana de)","6.42375","-66.58973","019","Américas","419","América Latina y el Caribe",,,,,,,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1987","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No",,,"11","Jubilado","5","Estudios Superiores","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21070","TRIGUEROS","37.38319","-6.833752","1","Centro Público","8,48","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2018","09","Convalidación parcial de estudios extranjeros (al menos 30 créditos reconocidos)","NO","1999","NO","NO","1980","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","5","Estudios Superiores","04","Empleados de tipo contable y administrativo","5","Estudios Superiores","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21060","PUNTA UMBRÍA","37.18248","-6.967148","1","Centro Público","7,69","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,"04","Empleados de tipo contable y administrativo","1992","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1975","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","09","Trabajadores no cualificados","3","Estudios Primarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21014","BONARES","37.3219","-6.680697","1","Centro Público","7,303","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,"04","Empleados de tipo contable y administrativo","2019","08","Por poseer otro título universitario o título equivalente","NO","1999","NO","NO","1976","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","2","Sin Estudios","11","Jubilado","3","Estudios Primarios","08","Operadores de instalaciones y maquinaria y montadores"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","6,27","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2018","09","Convalidación parcial de estudios extranjeros (al menos 30 créditos reconocidos)","NO","1994","NO","NO","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","2","Familia numerosa general","4","Estudios Secundarios","10","Parado",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","23","Jaén","23050","JAÉN","37.76574","-3.789518","1","Centro Público",,"724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2017","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1994","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","11","Jubilado","5","Estudios Superiores","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","11","Cádiz","11020","JEREZ DE LA FRONTERA","36.68656","-6.137173","1","Centro Público","6,3","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","04","Técnico /Técnica Superior de Formación Profesional o título equivalente","0413","Imagen y sonido","Formación profesional o título equivalente",,,"2007","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","NO",,"SÍ","NO","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","10","Parado",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21013","BOLLULLOS PAR DEL CONDADO","37.33615","-6.535758","1","Centro Público","6,134","226","Guinea Ecuatorial","1.650801","10.267895","002","África","202","África Subsahariana",,,,,,"05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","2013","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2014","NO","NO","1977","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","10","Parado","4","Estudios Secundarios","07","Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los operadores de instalaciones y maquinaria"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","8,15","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1977","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","11","Jubilado","5","Estudios Superiores","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS",,,,,,,,,"1","Centro Público",,"724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2011","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2018","SÍ","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","2","Familia numerosa general",,,"11","Jubilado","2","Sin Estudios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21058","PUEBLA DE GUZMÁN","37.61144","-7.245831","1","Centro Público","7,19","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,"01","Directores y gerentes","2014","02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","NO","2010","NO","NO","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","5","Estudios Superiores","03","Técnicos y profesionales de apoyo","3","Estudios Primarios","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21072","VALVERDE DEL CAMINO","37.57339","-6.753376","1","Centro Público","6,952","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,"04","Empleados de tipo contable y administrativo","2019","07","Estudios procedentes de sistemas educativos extranjeros, previa solicitud de homologación, del título de origen al título español de bachiller","SÍ","2019","SÍ","SÍ","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios",,,"4","Estudios Secundarios","00","Ocupaciones militares"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS",,,,,,,,,"2","Centro Privado","6,61","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0702","Ciencias","Bachillerato LOMCE",,,"2017","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2017","SÍ","NO","1982","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","5","Estudios Superiores","04","Empleados de tipo contable y administrativo","4","Estudios Secundarios","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21055","PALOS DE LA FRONTERA","37.2282","-6.893426","1","Centro Público","7,69","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2015","SÍ","NO","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","2","Familia numerosa general",,,,,"5","Estudios Superiores",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS",,,,,,,,,"2","Centro Privado","6,72","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1982","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","3","Familia numerosa especial","4","Estudios Secundarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","3","Estudios Primarios","10","Parado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","9,6","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,"03","Técnicos y profesionales de apoyo","2017","09","Convalidación parcial de estudios extranjeros (al menos 30 créditos reconocidos)","NO","2001","NO","NO","1969","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","10","Parado","5","Estudios Superiores",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21010","AYAMONTE","37.21466","-7.409819","1","Centro Público","8,093","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2008","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","SÍ","2019","SÍ","SÍ","1995","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","09","Trabajadores no cualificados","4","Estudios Secundarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","10","Valencia","12","Castellón/Castelló","12040","CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA","39.98598","-0.0376709","1","Centro Público","6,14","004","Afganistán","33.93911","67.709953","142","Asia","034","Asia meridional",,,,,,,,"2019","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","NO","2012","SÍ","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","2","Tiempo parcial","H","Hombre","2","Familia numerosa general","4","Estudios Secundarios","11","Jubilado","3","Estudios Primarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","6,27","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2002","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2004","SÍ","NO","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","5","Estudios Superiores","04","Empleados de tipo contable y administrativo","4","Estudios Secundarios","10","Parado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","9,285","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","02","Bachillerato LOGSE","0204","Humanidades y Ciencias Sociales","Bachillerato LOGSE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2000","226","Guinea Ecuatorial","1.650801","10.267895","002","África","202","África Subsahariana","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","04","Empleados de tipo contable y administrativo","3","Estudios Primarios","10","Parado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","5","Canarias","35","Las Palmas","35016","PALMAS DE GRAN CANARIA, LAS","28.12482","-15.43001","1","Centro Público","6,6","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","04","Técnico /Técnica Superior de Formación Profesional o título equivalente","0402","Administración y gestión","Formación profesional o título equivalente",,,"2017","04","Mayores de 25 años","SÍ","2019","SÍ","SÍ","1993","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No",,,"10","Parado","4","Estudios Secundarios","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21042","ISLA CRISTINA","37.19943","-7.325246","1","Centro Público","5,488","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","02","Bachillerato LOGSE","0204","Humanidades y Ciencias Sociales","Bachillerato LOGSE",,,"2019","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios",,,"3","Estudios Primarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04902","El Carmen","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","1","Público","G","Grado","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","3","Centro Privado Concertado","7,072","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"1999","10","Mediante traslado de Expediente proveniente de otro estudio de  grado (al menos 30 créditos reconocidos)","NO","2011","NO","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","5","Estudios Superiores","11","Jubilado",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501844","GRADO EN FINANZAS Y CONTABILIDAD","1","Andalucía","21","Huelva","21042","ISLA CRISTINA","37.19943","-7.325246","1","Centro Público","9,059","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","5","Estudios Superiores","02","Técnicos y profesionales científicos e intelectuales"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501844","GRADO EN FINANZAS Y CONTABILIDAD","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","7,901","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","04","Técnico /Técnica Superior de Formación Profesional o título equivalente","0402","Administración y gestión","Formación profesional o título equivalente",,,"2014","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","H","Hombre","1","No","4","Estudios Secundarios","10","Parado","5","Estudios Superiores","02","Técnicos y profesionales científicos e intelectuales"
