"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2017-18","019","Universidad de Valladolid","42004133","Facultad de Enfermería de Soria","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","20150401","41.75265","-2.46914"
"2017-18","019","Universidad de Valladolid","42004145","Facultad de Fisioterapia de Soria","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","20150601","41.75242","-2.46923"
"2017-18","019","Universidad de Valladolid","42004169","Escuela de Ingeniería de la Industria Forestal, Agronómica y de la Bioenergía","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","20170501","41.75382","-2.47054"
"2017-18","019","Universidad de Valladolid","47005632","Facultad de Educación y Trabajo Social","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19750901","41.66217","-4.70727"
"2017-18","019","Universidad de Valladolid","47005644","Escuela Técnica Superior de Arquitectura","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19680901","41.65027","-4.74087"
"2017-18","019","Universidad de Valladolid","47005668","Facultad de Ciencias","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19600901","41.66409","-4.70480"
"2017-18","019","Universidad de Valladolid","47005671","Facultad de Derecho","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19530901","41.65201","-4.72152"
"2017-18","019","Universidad de Valladolid","47005681","Facultad de Filosofía  y Letras","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19430901","41.65781","-4.71349"
"2017-18","019","Universidad de Valladolid","47005693","Facultad de Medicina","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19560901","41.65461","-4.71757"
"2017-18","019","Universidad de Valladolid","47005701","Facultad de Ciencias Económicas y  Empresariales","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19740901","41.65867","-4.71034"
"2017-18","019","Universidad de Valladolid","47006922","Escuela Universitaria de Ingeniería Técnica Agrícola INEA (Adscrita a la UVa)","47186","VALLADOLID","01901","Valladolid","C2","Centro adscrito","2","Privado","1","Activo","19810901","41.60405","-4.79341"
"2017-18","019","Universidad de Valladolid","47007069","Escuela Técnica Superior de Ingenieros de Telecomunicación","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","19880901","41.66239","-4.70580"
"2017-18","019","Universidad de Valladolid","47007941","Escuela de Ingenierías Industriales","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","20090901","41.65712","-4.71025"
"2017-18","019","Universidad de Valladolid","47008141","Facultad de Comercio de Valladolid","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","20140401","41.65875","-4.71413"
"2017-18","019","Universidad de Valladolid","47008153","Facultad de Enfermería de Valladolid","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","20140401","41.65459","-4.71739"
"2017-18","019","Universidad de Valladolid","47008438","Escuela de Ingeniería Informática de Valladolid","47186","VALLADOLID","01901","Valladolid","C1","Centro Propio","1","Público","1","Activo","20150601","41.66295","-4.70485"
"2017-18","019","Universidad de Valladolid","47008426","Servicio de Bienestar Animal","47186","VALLADOLID","01901","Valladolid","XX","Otros","1","Público","1","Activo","20140101","41.65435","-4.71756"
"2017-18","019","Universidad de Valladolid","47008384","Laboratorio de Metrología y Calibración de Presión y Temperatura (TERMOCAL)","47186","VALLADOLID","01901","Valladolid","XX","Otros","1","Público","1","Activo","20140101","41.65707","-4.71026"
"2017-18","019","Universidad de Valladolid","47008347","Laboratorio de Cartografía y Sistemas de Información Geográfica","47186","VALLADOLID","01901","Valladolid","XX","Otros","1","Público","1","Activo","20140101","41.65795","-4.71306"
"2017-18","019","Universidad de Valladolid","47008281","Centro de Estudios Sobre la Seguridad de los Medicamentos","47186","VALLADOLID","01901","Valladolid","XX","Otros","1","Público","1","Activo","20140101","41.65456","-4.71739"
"2017-18","019","Universidad de Valladolid","47008271","Centro de Estudios Vacceos ""Federico Wattenberg"" PADILLA DE DUERO / PEÑAFIEL (VALLADOLID)","47186","VALLADOLID","01901","Valladolid","XX","Otros","1","Público","1","Activo","20140101","41.61305","-4.16402"
"2017-18","019","Universidad de Valladolid","47008062","Instituto de Investigación en Matemáticas (IMUVA)","47186","VALLADOLID","01901","Valladolid","O1","Instituto universitario de investigación","1","Público","1","Activo","20130501","41.66340","-4.70390"
"2017-18","019","Universidad de Valladolid","34004018","Instituto Universitario de Investigación en Gestión Forestal Sostenible","34120","PALENCIA","01902","Palencia","O1","Instituto universitario de investigación","1","Público","1","Activo","20090601","41.98731","-4.51694"
"2017-18","019","Universidad de Valladolid","47008086","Instituto de las Tecnologías Avanzadas de la Producción (ITAP)","47186","VALLADOLID","01901","Valladolid","O1","Instituto universitario de investigación","1","Público","1","Activo","20120101","41.65731","-4.71030"
